Crop,Type,Soil,Ideal_Temp_C,Rainfall_mm,Season,Recommended_Fertilizer,Common_Pests/Diseases,Region_States,Sowing_Period,Harvest_Period,Average_Yield
Moong (Green Gram),Pulse,Sandy,22-32,1200-1700,Rabi,Muriate of Potash,Root rot,Puducherry,Oct-Nov,Mar-Apr,2.98
Sugarcane,Plantation,Peaty,24-34,900-1200,Perennial,Urea,Aphids,Rajasthan,Varies,Varies,92
Pumpkin,Vegetable,Laterite,28-38,700-800,Kharif,NPK 12:32:16,Early blight,Sikkim,Jun-Jul,Sep-Oct,4.48
Bitter Gourd,Fruit,Peaty,10-20,300-800,Rabi,NPK 12:32:16,Mosaic virus,Gujarat,Oct-Nov,Mar-Apr,3.73
Pomegranate,Fruit,Saline,27-37,500-800,Annual,NPK 12:32:16,Aphids,Rajasthan,Varies,Varies,3.21
Chili,Vegetable,Red,13-23,800-1100,Zaid,Lime,Nematode,Tripura,Mar-Apr,Jun-Jul,1.7
Pomegranate,Fruit,Alluvial,11-21,200-400,Zaid,Gypsum,Locusts,Chhattisgarh,Mar-Apr,Jun-Jul,2.03
Sesamum,Cash Crop,Saline,20-30,400-900,Annual,No fertilizer (organic),Pod borer,Goa,Varies,Varies,2.66
Drumstick,Fruit,Loamy,10-20,700-1000,Kharif,Ammonium Sulphate,Fall armyworm,Tamil Nadu,Jun-Jul,Sep-Oct,4.25
Sorghum,Plantation,Sandy,30-40,1200-2000,Rabi,No fertilizer (organic),Leaf roller,Goa,Oct-Nov,Mar-Apr,2.85
Guava,Fruit,Laterite,11-21,1200-1300,Rabi,Urea,Late blight,Maharashtra,Oct-Nov,Mar-Apr,21
Cotton,Spice,Laterite,23-33,1000-1800,Perennial,No fertilizer (organic),Mosaic virus,Punjab,Varies,Varies,3.68
Safflower,Oilseed,Peaty,22-32,700-900,Perennial,Lime,Root rot,Jharkhand,Varies,Varies,2.66
Onion,Vegetable,Laterite,17-27,600-1400,Zaid,NPK 20:20:0,Pod borer,Tripura,Mar-Apr,Jun-Jul,1.8
Drumstick,Cash Crop,Loamy,21-31,1000-1300,Zaid,DAP,Fall armyworm,Meghalaya,Mar-Apr,Jun-Jul,3.5
Pear,Fruit,Red,19-29,200-500,Kharif,Organic FYM,Late blight,Manipur,Jun-Jul,Sep-Oct,1.98
Arecanut,Plantation,Sandy,27-37,600-800,Kharif,Compost,Mosaic virus,Goa,Jun-Jul,Sep-Oct,1.44
Apple,Fruit,Alluvial,13-23,800-1100,Perennial,DAP,Anthracnose,Tripura,Varies,Varies,12
Rice,Cereal,Red,23-33,1500-2000,Perennial,Balanced NPK 100:50:50,Brown spot,Tripura,Varies,Varies,4.42
Jowar,Cereal,Saline,17-27,1000-1100,Rabi,Ammonium Sulphate,Blast disease,Puducherry,Oct-Nov,Mar-Apr,5.0
Pear,Fruit,Red,19-29,200-300,Zaid,Compost,Fungal wilt,Bihar,Mar-Apr,Jun-Jul,4.3
Pumpkin,Other,Peaty,25-35,400-1200,Perennial,NPK 12:32:16,Brown spot,Himachal Pradesh,Varies,Varies,1.1
Pumpkin,Fruit,Red,10-20,700-1000,Annual,Balanced NPK 100:50:50,None common,Assam,Varies,Varies,2.09
Pomegranate,Fruit,Peaty,20-30,300-800,Kharif,Muriate of Potash,Cutworm,Andhra Pradesh,Jun-Jul,Sep-Oct,1.97
Onion,Vegetable,Laterite,24-34,600-900,Zaid,Compost,Mosaic virus,Goa,Mar-Apr,Jun-Jul,1.26
Grapes,Fruit,Black (Regur),24-34,600-800,Perennial,Balanced NPK 100:50:50,Locusts,Puducherry,Varies,Varies,4.59
Mustard,Oilseed,Sandy,21-31,1200-1400,Rabi,Muriate of Potash,Early blight,West Bengal,Oct-Nov,Mar-Apr,3.27
Papaya,Fruit,Peaty,25-35,1000-1200,Rabi,Balanced NPK 100:50:50,None common,Sikkim,Oct-Nov,Mar-Apr,3.82
Cucumber,Other,Sandy Loam,12-22,1200-1300,Kharif,Lime,Locusts,Assam,Jun-Jul,Sep-Oct,2.78
Safflower,Oilseed,Loamy,13-23,1500-1700,Annual,Gypsum,Aphids,Delhi,Varies,Varies,3.28
Pumpkin,Oilseed,Peaty,23-33,900-1700,Kharif,Lime,Late blight,Meghalaya,Jun-Jul,Sep-Oct,4.28
Pear,Fruit,Alluvial,16-26,1200-1300,Kharif,Ammonium Sulphate,Nematode,Nagaland,Jun-Jul,Sep-Oct,1.83
Millet,Cereal,Alluvial,19-29,800-1000,Rabi,Balanced NPK 100:50:50,Mosaic virus,Manipur,Oct-Nov,Mar-Apr,4.48
Guava,Fruit,Clay Loam,22-32,300-1100,Rabi,Balanced NPK 100:50:50,Nematode,Bihar,Oct-Nov,Mar-Apr,13
Pear,Fruit,Red,17-27,200-300,Zaid,Gypsum,Anthracnose,Arunachal Pradesh,Mar-Apr,Jun-Jul,3.1
Orange,Fruit,Loamy,21-31,400-700,Rabi,No fertilizer (organic),None common,Bihar,Oct-Nov,Mar-Apr,1.35
Maize,Cereal,Laterite,12-22,300-1100,Kharif,Gypsum,Fungal wilt,Meghalaya,Jun-Jul,Sep-Oct,3.16
Barley,Cereal,Loamy,17-27,1000-1200,Kharif,Muriate of Potash,Locusts,Tamil Nadu,Jun-Jul,Sep-Oct,2.37
Rapeseed,Oilseed,Laterite,19-29,400-1200,Rabi,Ammonium Sulphate,Pod borer,Karnataka,Oct-Nov,Mar-Apr,1.77
Tea,Plantation,Peaty,25-35,200-500,Perennial,Lime,Root rot,Nagaland,Varies,Varies,2.04
Cotton,Fruit,Clay Loam,15-25,1000-1500,Rabi,NPK 20:20:0,Pod borer,Uttarakhand,Oct-Nov,Mar-Apr,4.0
Jowar,Cereal,Clay Loam,23-33,1000-1800,Rabi,Ammonium Sulphate,Rust,Karnataka,Oct-Nov,Mar-Apr,1.96
Cucumber,Cash Crop,Black (Regur),27-37,500-600,Zaid,Ammonium Sulphate,Anthracnose,Sikkim,Mar-Apr,Jun-Jul,3.69
Coconut,Plantation,Laterite,25-35,500-800,Zaid,Urea,Brown spot,Puducherry,Mar-Apr,Jun-Jul,6556 nuts/tree
Soybean,Oilseed,Laterite,29-39,500-1000,Rabi,Lime,Root rot,Tripura,Oct-Nov,Mar-Apr,2.06
Sweet Potato,Fruit,Sandy,21-31,1000-1500,Perennial,DAP,Mosaic virus,Andhra Pradesh,Varies,Varies,3.67
Banana,Fruit,Sandy Loam,23-33,200-1000,Rabi,No fertilizer (organic),Cutworm,Uttar Pradesh,Oct-Nov,Mar-Apr,36
Saffron,Fruit,Red,16-26,700-900,Perennial,Compost,Rust,Andhra Pradesh,Varies,Varies,3.58
Cabbage,Vegetable,Loamy,30-40,900-1400,Rabi,No fertilizer (organic),Nematode,Odisha,Oct-Nov,Mar-Apr,1.62
Coffee,Plantation,Alluvial,26-36,200-300,Kharif,Urea,Powdery mildew,West Bengal,Jun-Jul,Sep-Oct,3.11
Orange,Fruit,Red,10-20,500-1300,Perennial,Organic FYM,Leaf roller,Sikkim,Varies,Varies,3.89
Bottle Gourd,Plantation,Alluvial,10-20,1000-1800,Perennial,Urea,Stem borer,Telangana,Varies,Varies,3.76
Brinjal,Vegetable,Peaty,23-33,400-500,Kharif,Lime,Cutworm,Kerala,Jun-Jul,Sep-Oct,1.79
Sweet Potato,Fruit,Clay Loam,12-22,700-1200,Perennial,Compost,Rust,Nagaland,Varies,Varies,2.09
Gram,Pulse,Black (Regur),22-32,800-1300,Annual,Gypsum,Leaf roller,Manipur,Varies,Varies,0.72
Moringa,Spice,Sandy Loam,28-38,300-1100,Kharif,NPK 20:20:0,Brown spot,Delhi,Jun-Jul,Sep-Oct,4.69
Bitter Gourd,Fruit,Alluvial,12-22,1500-1800,Annual,Compost,Anthracnose,Punjab,Varies,Varies,2.1
Maize,Cereal,Saline,14-24,800-900,Zaid,Muriate of Potash,Fall armyworm,Kerala,Mar-Apr,Jun-Jul,3.53
Spinach,Vegetable,Red,12-22,1000-1300,Kharif,DAP,Powdery mildew,Kerala,Jun-Jul,Sep-Oct,3.98
Pear,Fruit,Alluvial,30-40,600-1100,Perennial,NPK 20:20:0,Nematode,Jharkhand,Varies,Varies,4.46
Guava,Fruit,Saline,19-29,500-600,Kharif,NPK 12:32:16,Cutworm,Rajasthan,Jun-Jul,Sep-Oct,30
Cotton,Spice,Sandy Loam,21-31,300-400,Kharif,NPK 12:32:16,Late blight,Gujarat,Jun-Jul,Sep-Oct,3.43
Tur (Pigeon Pea),Pulse,Clay Loam,24-34,1000-1800,Annual,Ammonium Sulphate,Whitefly,Uttar Pradesh,Varies,Varies,1.44
Safflower,Oilseed,Alluvial,19-29,800-1300,Kharif,No fertilizer (organic),Thrips,Delhi,Jun-Jul,Sep-Oct,4.44
Jute,Plantation,Red,14-24,600-900,Zaid,Gypsum,Cutworm,Haryana,Mar-Apr,Jun-Jul,1.42
Coriander,Plantation,Black (Regur),21-31,600-800,Perennial,Compost,Fungal wilt,Assam,Varies,Varies,2.34
Rice,Cereal,Sandy Loam,29-39,800-1100,Perennial,Organic FYM,Powdery mildew,Jammu & Kashmir,Varies,Varies,4.26
Sesamum,Fruit,Sandy Loam,29-39,500-1000,Zaid,Muriate of Potash,Fruit borer,Maharashtra,Mar-Apr,Jun-Jul,2.34
Drumstick,Vegetable,Sandy Loam,22-32,600-1100,Zaid,DAP,Fall armyworm,Assam,Mar-Apr,Jun-Jul,3.29
Sorghum,Plantation,Laterite,24-34,600-700,Perennial,Balanced NPK 100:50:50,Early blight,West Bengal,Varies,Varies,3.11
Cotton,Spice,Clay Loam,12-22,900-1700,Perennial,Compost,Fruit borer,Jharkhand,Varies,Varies,3.39
Saffron,Other,Alluvial,21-31,1000-1800,Kharif,DAP,None common,Kerala,Jun-Jul,Sep-Oct,3.32
Barley,Cereal,Sandy Loam,23-33,300-400,Kharif,NPK 12:32:16,Rust,Telangana,Jun-Jul,Sep-Oct,3.88
Apple,Fruit,Sandy Loam,22-32,900-1700,Annual,Muriate of Potash,Nematode,Uttar Pradesh,Varies,Varies,23
Urad,Pulse,Clay Loam,12-22,300-500,Zaid,NPK 12:32:16,Root rot,Chhattisgarh,Mar-Apr,Jun-Jul,3.98
Cauliflower,Vegetable,Black (Regur),24-34,900-1200,Kharif,NPK 12:32:16,Leaf roller,Himachal Pradesh,Jun-Jul,Sep-Oct,3.15
Cabbage,Vegetable,Red,17-27,1000-1200,Annual,Muriate of Potash,Root rot,Jharkhand,Varies,Varies,2.59
Pomegranate,Fruit,Red,30-40,1500-2000,Perennial,Urea,Mosaic virus,Sikkim,Varies,Varies,4.26
Cardamom,Spice,Alluvial,16-26,500-800,Kharif,Compost,Whitefly,Himachal Pradesh,Jun-Jul,Sep-Oct,3.93
Safflower,Oilseed,Loamy,13-23,600-1100,Annual,Balanced NPK 100:50:50,Root rot,Sikkim,Varies,Varies,2.37
Masoor,Pulse,Sandy Loam,24-34,1200-1400,Zaid,Compost,Fall armyworm,Haryana,Mar-Apr,Jun-Jul,3.33
Grapes,Fruit,Black (Regur),15-25,700-900,Annual,Ammonium Sulphate,Powdery mildew,Sikkim,Varies,Varies,1.43
Coffee,Plantation,Peaty,30-40,400-1200,Rabi,Gypsum,Pod borer,West Bengal,Oct-Nov,Mar-Apr,1.47
Cucumber,Cereal,Sandy Loam,10-20,900-1100,Rabi,Ammonium Sulphate,Thrips,Telangana,Oct-Nov,Mar-Apr,3.37
Drumstick,Spice,Loamy,25-35,400-500,Annual,Urea,None common,Kerala,Varies,Varies,1.88
Brinjal,Vegetable,Loamy,28-38,900-1700,Annual,DAP,Fall armyworm,Bihar,Varies,Varies,2.09
Betel Vine,Other,Alluvial,24-34,1000-1200,Perennial,DAP,Mosaic virus,Jammu & Kashmir,Varies,Varies,3.19
Bajra,Cereal,Sandy,21-31,300-800,Kharif,NPK 20:20:0,Brown spot,Himachal Pradesh,Jun-Jul,Sep-Oct,3.99
Cardamom,Oilseed,Saline,14-24,500-700,Kharif,Compost,Nematode,Jharkhand,Jun-Jul,Sep-Oct,2.13
Safflower,Oilseed,Sandy,28-38,600-1400,Kharif,Muriate of Potash,None common,Himachal Pradesh,Jun-Jul,Sep-Oct,2.09
Chili,Vegetable,Red,17-27,400-700,Rabi,Balanced NPK 100:50:50,Fruit borer,Andhra Pradesh,Oct-Nov,Mar-Apr,1.72
Saffron,Spice,Loamy,12-22,1500-1600,Perennial,Lime,Mosaic virus,Karnataka,Varies,Varies,4.04
Pumpkin,Plantation,Sandy Loam,28-38,200-300,Perennial,Balanced NPK 100:50:50,Anthracnose,Nagaland,Varies,Varies,1.9
Pear,Fruit,Clay Loam,16-26,900-1200,Zaid,NPK 12:32:16,Root rot,Jharkhand,Mar-Apr,Jun-Jul,3.26
Drumstick,Cash Crop,Alluvial,11-21,300-800,Kharif,DAP,Blast disease,Chhattisgarh,Jun-Jul,Sep-Oct,3.28
Cardamom,Vegetable,Red,30-40,600-800,Zaid,DAP,Powdery mildew,Gujarat,Mar-Apr,Jun-Jul,1.84
Jute,Plantation,Clay Loam,30-40,600-800,Perennial,Balanced NPK 100:50:50,Aphids,Nagaland,Varies,Varies,1.09
Pearl Millet,Cereal,Saline,17-27,1000-1500,Kharif,Urea,Leaf spot,Maharashtra,Jun-Jul,Sep-Oct,4.61
Cardamom,Oilseed,Loamy,12-22,500-1000,Kharif,No fertilizer (organic),Whitefly,Bihar,Jun-Jul,Sep-Oct,2.63
Sesamum,Spice,Red,30-40,1500-1700,Kharif,Lime,Fall armyworm,Uttar Pradesh,Jun-Jul,Sep-Oct,2.94
Cauliflower,Vegetable,Red,23-33,1200-1700,Rabi,DAP,Whitefly,West Bengal,Oct-Nov,Mar-Apr,3.93
Pineapple,Fruit,Clay Loam,20-30,400-600,Zaid,Balanced NPK 100:50:50,Aphids,Kerala,Mar-Apr,Jun-Jul,25
Brinjal,Vegetable,Sandy,16-26,1000-1800,Annual,NPK 20:20:0,Mosaic virus,Rajasthan,Varies,Varies,1.65
Grapes,Fruit,Clay Loam,13-23,500-1000,Annual,DAP,Locusts,Delhi,Varies,Varies,5.2
Rapeseed,Oilseed,Clay Loam,28-38,800-1100,Annual,Balanced NPK 100:50:50,Blast disease,Tripura,Varies,Varies,3.33
Pearl Millet,Cereal,Saline,12-22,200-500,Rabi,Urea,Leaf roller,Himachal Pradesh,Oct-Nov,Mar-Apr,2.29
Tobacco,Cash Crop,Clay Loam,22-32,300-1100,Annual,Compost,Cutworm,Karnataka,Varies,Varies,0.9
Banana,Fruit,Peaty,20-30,800-1600,Kharif,NPK 12:32:16,Leaf spot,Madhya Pradesh,Jun-Jul,Sep-Oct,35
Jowar,Cereal,Black (Regur),23-33,300-800,Annual,Compost,Leaf roller,Tamil Nadu,Varies,Varies,3.69
Tea,Plantation,Alluvial,14-24,200-400,Perennial,Organic FYM,Locusts,Telangana,Varies,Varies,2.96
Onion,Vegetable,Sandy Loam,14-24,600-700,Kharif,Organic FYM,Powdery mildew,Karnataka,Jun-Jul,Sep-Oct,2.73
Pearl Millet,Cereal,Loamy,26-36,700-800,Perennial,Compost,Blast disease,Gujarat,Varies,Varies,1.93
Masoor,Pulse,Peaty,10-20,200-300,Rabi,Urea,Early blight,Gujarat,Oct-Nov,Mar-Apr,2.08
Bajra,Cereal,Clay Loam,17-27,700-900,Perennial,No fertilizer (organic),Root rot,Karnataka,Varies,Varies,4.18
Soybean,Oilseed,Alluvial,15-25,500-1300,Kharif,Ammonium Sulphate,Aphids,Delhi,Jun-Jul,Sep-Oct,2.53
Mustard,Oilseed,Black (Regur),27-37,900-1000,Zaid,NPK 20:20:0,Pod borer,Goa,Mar-Apr,Jun-Jul,4.22
Potato,Vegetable,Sandy Loam,28-38,900-1100,Annual,NPK 20:20:0,Cutworm,Uttar Pradesh,Varies,Varies,3.98
Cauliflower,Vegetable,Sandy Loam,10-20,1500-2000,Zaid,DAP,Brown spot,Telangana,Mar-Apr,Jun-Jul,4.6
Jowar,Cereal,Sandy,12-22,200-400,Annual,Ammonium Sulphate,Leaf spot,Delhi,Varies,Varies,2.95
Gram,Pulse,Peaty,14-24,1500-2000,Kharif,Compost,Fall armyworm,Punjab,Jun-Jul,Sep-Oct,3.17
Grapes,Fruit,Sandy,20-30,800-1100,Zaid,Gypsum,Bacterial blight,Kerala,Mar-Apr,Jun-Jul,1.0
Urad,Pulse,Black (Regur),15-25,900-1400,Zaid,Ammonium Sulphate,Whitefly,Jharkhand,Mar-Apr,Jun-Jul,2.67
Cucumber,Fruit,Loamy,18-28,300-400,Rabi,Balanced NPK 100:50:50,Pod borer,Jammu & Kashmir,Oct-Nov,Mar-Apr,3.77
Mango,Fruit,Red,12-22,500-800,Perennial,Lime,Leaf roller,Meghalaya,Varies,Varies,17
Onion,Vegetable,Alluvial,22-32,900-1700,Annual,NPK 20:20:0,Whitefly,Chhattisgarh,Varies,Varies,1.75
Soybean,Oilseed,Alluvial,17-27,400-600,Perennial,Organic FYM,Anthracnose,Manipur,Varies,Varies,4.06
Onion,Vegetable,Alluvial,12-22,500-1000,Rabi,DAP,Root rot,Bihar,Oct-Nov,Mar-Apr,1.17
Jute,Plantation,Clay Loam,25-35,200-700,Perennial,Muriate of Potash,Nematode,Assam,Varies,Varies,4.16
Cucumber,Oilseed,Alluvial,29-39,1200-2000,Rabi,Balanced NPK 100:50:50,Pod borer,Andhra Pradesh,Oct-Nov,Mar-Apr,2.63
Jowar,Cereal,Sandy,22-32,400-900,Rabi,Balanced NPK 100:50:50,Locusts,Kerala,Oct-Nov,Mar-Apr,3.72
Maize,Cereal,Sandy Loam,25-35,1000-1500,Zaid,Compost,Locusts,Maharashtra,Mar-Apr,Jun-Jul,2.13
Rapeseed,Oilseed,Alluvial,18-28,200-700,Annual,Organic FYM,None common,Goa,Varies,Varies,5.27
Moong (Green Gram),Pulse,Laterite,18-28,1000-1100,Rabi,Compost,Fruit borer,Gujarat,Oct-Nov,Mar-Apr,5.05
Tea,Plantation,Laterite,28-38,700-1000,Annual,Urea,Leaf spot,Nagaland,Varies,Varies,1.88
Sunflower,Oilseed,Loamy,27-37,600-800,Perennial,Urea,Aphids,Punjab,Varies,Varies,1.6
Bottle Gourd,Cereal,Sandy Loam,29-39,500-700,Zaid,No fertilizer (organic),Blast disease,Puducherry,Mar-Apr,Jun-Jul,4.42
Jowar,Cereal,Red,28-38,400-500,Annual,Organic FYM,Aphids,Gujarat,Varies,Varies,3.84
Moong (Green Gram),Pulse,Sandy,20-30,400-600,Perennial,Balanced NPK 100:50:50,Early blight,Manipur,Varies,Varies,2.45
Sweet Potato,Vegetable,Saline,15-25,800-1100,Zaid,Muriate of Potash,Blast disease,Arunachal Pradesh,Mar-Apr,Jun-Jul,1.28
Pear,Fruit,Red,29-39,700-1500,Rabi,Balanced NPK 100:50:50,Fall armyworm,Bihar,Oct-Nov,Mar-Apr,4.12
Pearl Millet,Cereal,Sandy Loam,20-30,400-500,Zaid,Gypsum,Stem borer,Karnataka,Mar-Apr,Jun-Jul,2.04
Cauliflower,Vegetable,Black (Regur),10-20,200-700,Perennial,No fertilizer (organic),Powdery mildew,Odisha,Varies,Varies,4.32
Guava,Fruit,Peaty,22-32,300-800,Annual,Balanced NPK 100:50:50,None common,Meghalaya,Varies,Varies,15
Sugarcane,Plantation,Black (Regur),11-21,600-700,Zaid,NPK 12:32:16,Whitefly,Haryana,Mar-Apr,Jun-Jul,81
Jute,Plantation,Red,12-22,1000-1100,Zaid,Compost,Fungal wilt,Delhi,Mar-Apr,Jun-Jul,2.32
Jute,Plantation,Red,11-21,300-600,Rabi,NPK 20:20:0,Powdery mildew,Nagaland,Oct-Nov,Mar-Apr,3.57
Onion,Vegetable,Sandy,17-27,300-400,Perennial,Compost,Thrips,Jammu & Kashmir,Varies,Varies,2.38
Rice,Cereal,Black (Regur),19-29,1500-2300,Perennial,NPK 20:20:0,Whitefly,Uttar Pradesh,Varies,Varies,1.97
Gram,Pulse,Black (Regur),19-29,800-1300,Perennial,Balanced NPK 100:50:50,Bacterial blight,Haryana,Varies,Varies,3.3
Papaya,Fruit,Sandy Loam,15-25,900-1000,Zaid,Gypsum,Late blight,Karnataka,Mar-Apr,Jun-Jul,1.63
Jowar,Cereal,Black (Regur),12-22,1500-1800,Annual,Ammonium Sulphate,None common,Goa,Varies,Varies,1.41
Pineapple,Fruit,Clay Loam,27-37,1500-2000,Annual,NPK 20:20:0,Early blight,Tamil Nadu,Varies,Varies,10
Pear,Fruit,Peaty,28-38,1000-1800,Annual,Muriate of Potash,Whitefly,Tripura,Varies,Varies,3.21
Jute,Plantation,Laterite,14-24,200-700,Kharif,Balanced NPK 100:50:50,Powdery mildew,Assam,Jun-Jul,Sep-Oct,4.88
Onion,Vegetable,Black (Regur),12-22,800-1600,Perennial,Lime,Root rot,Uttarakhand,Varies,Varies,2.03
Wheat,Cereal,Clay Loam,13-23,800-1000,Rabi,Compost,Fall armyworm,Goa,Oct-Nov,Mar-Apr,4.34
Urad,Pulse,Sandy,27-37,700-1200,Zaid,Ammonium Sulphate,Powdery mildew,Andhra Pradesh,Mar-Apr,Jun-Jul,3.14
Tea,Plantation,Clay Loam,14-24,1200-2000,Perennial,Urea,Fruit borer,Delhi,Varies,Varies,3.2
Grapes,Fruit,Loamy,18-28,700-800,Zaid,NPK 12:32:16,Pod borer,Karnataka,Mar-Apr,Jun-Jul,4.56
Moong (Green Gram),Pulse,Red,19-29,900-1200,Zaid,No fertilizer (organic),Powdery mildew,Sikkim,Mar-Apr,Jun-Jul,3.1
Mango,Fruit,Loamy,26-36,700-800,Annual,Muriate of Potash,Aphids,Tamil Nadu,Varies,Varies,30
Tobacco,Cash Crop,Red,26-36,1200-1300,Rabi,NPK 20:20:0,Brown spot,Jammu & Kashmir,Oct-Nov,Mar-Apr,0.75
Ragi,Cereal,Laterite,18-28,700-1200,Annual,Ammonium Sulphate,Powdery mildew,Puducherry,Varies,Varies,0.99
Papaya,Fruit,Saline,24-34,400-900,Annual,Lime,Nematode,Gujarat,Varies,Varies,2.09
Tur (Pigeon Pea),Pulse,Alluvial,22-32,200-400,Annual,NPK 20:20:0,Rust,Manipur,Varies,Varies,1.56
Lentil,Pulse,Alluvial,10-20,900-1100,Rabi,Compost,Stem borer,Kerala,Oct-Nov,Mar-Apr,2.32
Mustard,Oilseed,Clay Loam,22-32,700-1200,Zaid,NPK 20:20:0,Late blight,Tamil Nadu,Mar-Apr,Jun-Jul,3.91
Pear,Fruit,Alluvial,26-36,1500-1800,Annual,Balanced NPK 100:50:50,Fungal wilt,Sikkim,Varies,Varies,2.3
Bottle Gourd,Pulse,Sandy Loam,18-28,1500-1800,Zaid,NPK 12:32:16,Powdery mildew,Nagaland,Mar-Apr,Jun-Jul,4.74
Coconut,Plantation,Peaty,17-27,200-1000,Perennial,Balanced NPK 100:50:50,Root rot,Meghalaya,Varies,Varies,6146 nuts/tree
Sorghum,Plantation,Sandy,18-28,800-1300,Perennial,No fertilizer (organic),Leaf roller,Goa,Varies,Varies,3.75
Coconut,Plantation,Laterite,27-37,1500-2000,Zaid,Lime,Pod borer,Uttarakhand,Mar-Apr,Jun-Jul,6392 nuts/tree
Coffee,Plantation,Black (Regur),25-35,400-700,Annual,Muriate of Potash,Anthracnose,Delhi,Varies,Varies,1.84
Tur (Pigeon Pea),Pulse,Sandy Loam,17-27,600-1100,Zaid,Organic FYM,Bacterial blight,Goa,Mar-Apr,Jun-Jul,2.52
Bitter Gourd,Cereal,Saline,28-38,1200-1300,Perennial,NPK 20:20:0,Locusts,Bihar,Varies,Varies,4.13
